id,count
ZONA CALLAO SEGURO SOCIAL DE SALUD LIMA 514845,2
CONTRATACION DEL SERVICIO DE ATENCION AMBULATORIA DE HEMODIALISIS SIN REUSO PARA  HOSPITAL VICTOR LAZARTE ECHEGARAY SEGURO SOCIAL DE SALUD LIMA 503624,2
"MEJORAMIENTO DEL SERVICIO DE DESEMBARCADERO PARA EL MANEJO DE MUESTRAS DE INVESTIGACI¿N EN LA SEDE CENTRAL DE IMARPE, DISTRITO DEL CALLAO, PROVINCIA CONSTITUCIONAL DEL CALLAO, REGI¿N CALLAO. INSTITUTO DEL MAR DEL PERU CALLAO 443714",2
ZONA LIMA SUR I SEGURO SOCIAL DE SALUD LIMA 514845,2
SERVICIO ALQUILER DE BARCAZAS FLUVIALES PARA EL TRANSPORTE FLUVIAL DE HIDROCARBUROS PETROLEOS DEL PERU S.A. LIMA 476839,2
CONTRATACION DE IPRESS -HEMODIALISIS TERCERIZADA PARA LA ATENCI¿N AMBULATORIA DE HEMODIALISIS SIN REUSO DE LA RED ASISTENCIAL LORETO SEGURO SOCIAL DE SALUD LIMA 506486,2
SERVICIO DE IMPRESI¿N DEL ACTA PADR¿N Y OTROS MATERIALES ELECTORALES - - ERM 2018 OFICINA NACIONAL DE PROCESOS ELECTORALES LIMA 448945,1
"EJECUCION DE OBRA: MEJORAMIENTO, AMPLIACION DEL SERVICIO DE LIMPIEZA PUBLICA EN LAS LOCALIDADES DE PUCACACA, CHINCHA ALTA, SHIMBILLO Y NUEVO CODO, DISTRITO DE PUCACACA, PROVINCIA DE PICOTA, SAN MARTIN MUNICIPALIDAD DISTRITAL DE PUCACACA SAN MARTIN 427796",1
"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD ENTRE LA PROGRESIVA 0+000 HASTA LA PROGRESIVA 9+321 DE LOS CENTROS POBLADOS CP 02 COLERA, SAN MARTIN CP03, VALLECITO, 09 DE OCTUBRE Y CENTRO POBLADO DE CP11 - DISTRITO DE TAMBOGRANDE ¿ PROVINCIA DE PIURA ¿ PIURA, CODIGO SNIP N¿ 2400368 MUNICIPALIDAD DISTRITAL DE TAMBOGRANDE PIURA 467216",1
"MEJORAMIENTO Y AMPLIACI¿N DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LOS ANEXOS DEL C.P. CAMINO CHICO, DISTRITO DE PUEBLO NUEVO - ICA - ICA MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO - ICA ICA 503809",1
"REHABILITACI¿N DE CAMINOS VECINALES POR EL CRITERIO DE INTEGRALIDAD ¿ 10.10 KM EN LOS CASER¿OS CASA EMBARRADA, SAN PABLO, LA VICTORIA Y PUEBLO VIEJO EN EL DISTRITO DE PACORA ¿ LAMBAYEQUE - LAMBAYEQUE MUNICIPALIDAD DISTRITAL DE PACORA LAMBAYEQUE 499843",1
SERVICIO DE EJECUCI¿N DE OBRA: CONSTRUCCI¿N DEL PTE CARROZABLE ORCCOMA SOBRE EL RIO ORCCOMA EN LA COMUNIDAD CAMPESINA DE HANANSAYA ORCCOMA DISTRITO DE SANTO TOMAS PROVINCIA DE CHUMBIVILCAS - CUSCO MUNICIPALIDAD PROVINCIAL DE CHUMBIVILCAS - SANTO TOMAS CUSCO 464011,1
"EJECUCION DE LA OBRA AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE E INSTALACI¿N DEL SISTEMA DE ELIMINACI¿N DE EXCRETAS EN LAS LOCALIDADES DE SANTA ROSA DE CHAGLLA, BUENA VISTA, ACHINCA, JUAN VELASCO ALVARADO DE ANTIL, PAMPAMARCA, QUIRCAN CHICO Y ROSAPAMPA DEL DISTRITO DE CHAUL¿N ¿ HU¿NUCO ¿ HU¿NUCO MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CHAULAN HUANUCO 466852",1
"EJECUCION DE LA OBRA: CREACION Y AMPLIACION DE LA PAVIMENTACION DE LAS CALLES DE LA LOCALIDAD DE CHOROPAMPA, DISTRITO DE CHOROPAMPA, PROVINCIA DE CHOTA, DEPARTAMENTO DE CAJAMARCA CODIGO SNIP NRO 332956 MUNICIPALIDAD DISTRITAL DE CHOROPAMPA CAJAMARCA 499396",1
Reparaci¿n de Pistas En El(La) Tramo 1-1385 Tramo 1-1386 Tramo 1-1387 de la I Etapa de la Urbanizaci¿n Miguel Grau Distrito de Casa Grande Provincia Ascope Departamento La Libertad Obra MUNICIPALIDAD DISTRITAL DE CASA GRANDE LA LIBERTAD 492750,1
"Mejoramiento de la Carretera Ramal Pacucha (Desvio Pista) - Pacucha, distrito de Pacucha, provincia de Andahuaylas - Apurimac MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO LIMA 528496",1
"EJECUCION DE OBRA ""AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO EN A.H. OLLANTA HUMALA TASSO"" ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO GRAU S.A. PIURA 507401",1
Mupirocina 2   Unguento  t¿pico  x  15  g SEGURO SOCIAL DE SALUD LIMA 460351,1
ADQUISICION DE LECHE EVAPORADA ENTERA ESTERILIZADA PARA EL PROGRAMA DEL VASO DE LECHE MUNICIPALIDAD DISTRITAL DE LOS OLIVOS (LAS PALMERAS) LIMA 434668,1
"ADQUISICION DE ESTRUCTURAS MODULARES METALICAS LIVIANAS Y DE FACIL ARMADO PARA EL MONTAJE DE PUENTES MODULARES - VEHICULARES, PARA LA ZONA CENTRO. MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO LIMA 506965",1
CONTRATACION PARA LA EJECUCION DE OBRA: ¿MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA INSTITUCI¿N EDUCATIVA PUBLICA SAN PEDRO P.J MIRAMAR BAJO DEL DISTRITO DE CHIMBOTE - PROVINCIA DE SANTA - DEPARTAMENTO DE ANCASH¿ - I ETAPA GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL ANCASH 485872,1
"Adquisici¿n de la soluci¿n Integral para el Tunel Interactivo con Equipamiento, sistema audio visual inmersivo, interactivo y envolvente de gran formato con un sistema de realidad aumentada EMPRESA MUNICIPAL INMOBILIARIA DE LIMA S.A. LIMA 464997",1
Seguridad y Vigilancia - Red Asistencial Juliaca SEGURO SOCIAL DE SALUD LIMA 525097,1
"EJECUCI¿N DE LA OBRA ""CONSTRUCCI¿N SISTEMA DE IRRIGACI¿N HUACATINA-CALAMARCA, HUASO, PROVINCIA DE JULC¿N - LA LIBERTAD (SALDO DE OBRA)"" MUNICIPALIDAD PROVINCIAL DE JULCAN LA LIBERTAD 426140",1
SERVICIO DE VIGILANCIA - PROVINCIA JEFATURA REGIONAL TRUJILLO REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL LIMA 529029,1
ADQUISICION DE MOBILIARIO BASICO Y COMPLEMENTARIO PARA INSTITUCIONES EDUCATIVAS EMBLEMATICA A NIVEL NACIONAL PROGRAMA NACIONAL DE INFRAESTRUCTURA EDUCATIVA UE 108 - PRONIED LIMA 478648,1
CONTRATACI¿N DE EJECUCI¿N DE LA OBRA MEJORAMIENTO Y AMPLIACI¿N DEL SERVICIO EDUCATIVO DE EDUCACI¿N INICIAL ESCOLARIZADA DE LA IEI 365 SAN AGUST¿N DE CAJAS - PROVINCIA DE HUANCAYO - JUNIN GOBIERNO REGIONAL DE JUNIN SEDE CENTRAL JUNIN 455700,1
EJECUCI¿N DEL PROYECTO AMPLIACI¿N Y MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LA ESCUELA PROFESIONAL DE INGENIER¿A DE MINAS UNSCH - AYACUCHO - HUAMANGA - AYACUCHO. UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA AYACUCHO 477511,1
UNIFORME DE INVIERNO DAMAS INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS LIMA 496093,1
SISTEMA DIPAC ULTRABAG SEGURO SOCIAL DE SALUD LIMA 477815,1
CONSTRUCCION Y REHABILITACION DE CAMINO VECINAL SALAMANCA HUAYTAPAMPA DISTRITO DE SALAMANCA PROVINCIA DE CONDESUYOS AREQUIPA MUNICIPALIDAD PROVINCIAL DE CONDESUYOS - CHUQUIBAMBA AREQUIPA 460866,1
SERVICIO DE EMISION Y EXPEDICION DE CARNES UNIVERSITARIOS SUPERINTENDENCIA NACIONAL DE EDUCACION SUPERIOR UNIVERSITARIA LIMA 433751,1
"EJECUION DE LA OBRA  MEJORAMIENTO DE PISTAS Y VEREDAS EN LOS JIRONES HUANCAVELICA, MANCO CAPAC , AUGUSTO B. LEGUIA, NIEVES  OLIVAR DE ESCUDERO, 28 DE JULIO. PROGRESO Y  SANTA ROSA EN LA LOCALIDAD DE LOCROJA, DISTRITO DE LOCROJA, PROVICNIA DE CHIRCAMPA- DEPARTAMENTO DE HUANCAVELICA PRIMERA ETAPA MUNICIPALIDAD DISTRITAL DE LOCROJA HUANCAVELICA 498184",1
"CONTRATACI¿N DE EJECUCI¿N DE LA OBRA INSTALACI¿N DE LOS SERVICIOS DE EDUCACI¿N INICIAL ESCOLARIZADA EN LA IE 1110 EN EL AA.HH. JUSTICIA PAZ Y VIDA DISTRITO DE EL TAMBO PROVINCIA DE HUANCAYO, REGI¿N JUNIN GOBIERNO REGIONAL DE JUNIN SEDE CENTRAL JUNIN 455708",1
PAQUETE II: INMUNOLOGIA PAQUETE A HOSPITAL NACIONAL ARZOBISPO LOAYZA LIMA 523371,1
"CONTRATACION DE UNA IPRESS DEL PRIMER NIVEL DE ATENCI¿N PARA LA POBLACI¿N SEGURADA DE LA RED ASISTENCIAL PIURA DISTRITOS:  PIURA, VEINTISEIS DE OCTUBRE Y CATACAOS. SEGURO SOCIAL DE SALUD LIMA 503341",1
"EJECUCI¿N DE LA OBRA ""INSTALACI¿N DEL SISTEMA EL¿CTRICO RURAL CELEND¿N FASE II"" DIRECCION GENERAL DE ELECTRIFICACION RURAL DEL MINISTERIO DE ENERGÍA Y MINAS LIMA 469749",1
LACTULOSA 3.3 g/5 mL SOL 240 mL CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD LIMA 505229,1
SERVICIO DE ATENCION AMBULATORIA AL SIS CON IRC TERMINAL EN HEMODIALISIS EN EL DEPARTAMENTO DE  CAJAMARCA 1 FONDO INTANGIBLE SOLIDARIO DE SALUD LIMA 465954,1
CONSULTORIA PARA LA SUPERVISION DE LA OBRA: AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO PARA EL MACRO PROYECTO PACHACUTEC DEL DISTRITO DE VENTANILLA  ETAPA 3 SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL LIMA 501042,1
SUPERVISI¿N DE LA OBRA ¿AMPLIACI¿N DE LA CAPACIDAD DE ALBERGUE Y CONSTRUCCI¿N DE ¿REAS COMPLEMENTARIAS EN EL COMPLEJO PENITENCIARIO DE AREQUIPA¿  SNIP 112746 - ETAPA I INPE-OFICINA GENERAL DE INFRAESTRUCTURA LIMA 481759,1
"CONSULTOR¿A PARA LA ELABORACI¿N DEL EXPEDIENTE T¿CNICO DEL PROYECTO MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y RECOLECCI¿N DE AGUAS RESIDUALES DE LA CIUDAD DE PUNO, DISTRITO DE PUNO - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO CON CUI 2387679 PROGRAMA NACIONAL DE SANEAMIENTO URBANO LIMA 471360",1
