id,count
EJECUCION DE LA OBRA CREACION DE DIQUES PARA EL CONTROL INTEGRAL DE AVENIDAS EN LA QUEBRADA LA YESERA DISTRITO DE SAN JOSE DE LOS MOLINOS - ICA -ICA MUNICIPALIDAD DISTRITAL DE SAN JOSE DE LOS MOLINOS ICA,2
UNIFORME DE DAMAS MINISTERIO PUBLICO LIMA,2
"EJECUCION DEL SALDO DE OBRA : ""CONSTRUCCI¿N E IMPLEMENTACI¿N DEL HOSPITAL II-2 DE JA¿N"". GOBIERNO REGIONAL DE CAJAMARCA UNIDAD EJECUTORA PROGRAMAS REGIONALES - PROREGION CAJAMARCA",2
"EJECUCION DE LA OBRA MEJORAMIENTO Y REHABILITACION DEL CAMINO VECINAL (RUTA N¿ LI 805 EMP PE-10A - CERRO ZANGO - CUSHPIORCO - PUEBLO LIBRE - ULLAPCHAN: RUTA N¿ LI 806- LABUNDAY) 4 LOCALIDADES DEL DISTRITO DE AGALLPAMPA PROVINCIA OTUZCO LA LIBERTAD"" MUNICIPALIDAD DISTRITAL DE AGALLPAMPA LA LIBERTAD",2
EJECUCI¿N DE LA OBRA: CONSTRUCCI¿N E IMPLEMENTACI¿N DEL HOSPITAL II-1 SAN IGNACIO. GOBIERNO REGIONAL DE CAJAMARCA - GERENCIA SUB REGIONAL JAEN CAJAMARCA,2
MEDROXIPROGESTERONA ACETATO 150 mg/mL INY 1 mL CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD LIMA,2
ADQUISICI¿N DE LICENCIAS DE SOFTWARE ESPECIALIZADO PARA LAS UNIDADES GERENCIALES DE LA AATE AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE LIMA,1
"Ejecuci¿n de la Obra: ¿MEJORAMIENTO DE TALUDES Y V¿AS DE ACCESO EN LAS ZONAS DE RIESGO DEL AA. HH LAS VI¿AS DE SAN JUAN DEL DISTRITO DE ATE, PROVINCIA DE LIMA-LIMA SNIP N¿ 236934¿ EMPRESA MUNICIPAL ADMINISTRADORA DE PEAJE DE LIMA S.A. LIMA",1
"CONTRATACI¿N DE LA EJECUCI¿N DE OBRA ¿MEJORAMIENTO DE LOS SERVICIOS DE EDUCACI¿N PRIMARIA DE LA I.E. 30155 FRANCISCO BOLOGNESI, DISTRITO DE CHILCA - PROVINCIA DE HUANCAYO - JUN¿N¿ MUNICIPALIDAD PROVINCIAL DE HUANCAYO JUNIN",1
"SERVICIO DE GAMES MANAGEMENT SYSTEMS (GMS) Y TIMING, SCORING & RESULTS SYSTEMS (TSR) PROYECTO ESPECIAL LEGADO LIMA",1
"EJECUCION DE OBRA MEJORAMIENTO DEL SISTEMA DE RIEGO DEL COMIT¿ DE REGANTES URINSAYA, DISTRITO DE CRUCERO PROVINCIA DE CARABAYA - PUNO. PROYECTO ESPECIAL BINACIONAL LAGO TITICACA PUNO",1
"EJECUCI¿N DE OBRA: MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL C.P HUAYRASITANA Y COMUNIDADES EL LIRIO Y EL MIRADOR, DISTRITO DE CHALAMARCA - CHOTA - CAJAMARCA MUNICIPALIDAD DISTRITAL DE CHALAMARCA CAJAMARCA",1
